央视,#genre#
CCTV-01,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-02,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-03,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-04,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV-05,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV-06,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV-07,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-08,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-09,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV-10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-13,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-15,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV-16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-17,http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV-01,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-02,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV-03,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV-04,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV-05,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-06,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV-07,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV-08,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub
CCTV-09,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV-10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV-11,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV-12,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV-13,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub
CCTV-14,http://38.75.136.137:98/gslb/dsdqpub/cctv14hd.m3u8?auth=testpub
CCTV-15,http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub
CCTV-16,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV-17,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub
央卫,#genre#
CCTV-01,http://go.bkpcp.top/mg/cctv1
CCTV-02,http://go.bkpcp.top/mg/cctv2
CCTV-03,http://go.bkpcp.top/mg/cctv3
CCTV-04,http://go.bkpcp.top/mg/cctv4
CCTV-05,http://go.bkpcp.top/mg/cctv5
CCTV-5+,http://go.bkpcp.top/mg/cctv5p
CCTV-06,http://go.bkpcp.top/mg/cctv6
CCTV-07,http://go.bkpcp.top/mg/cctv7
CCTV-08,http://go.bkpcp.top/mg/cctv8
CCTV-09,http://go.bkpcp.top/mg/cctv9
CCTV-10,http://go.bkpcp.top/mg/cctv10
CCTV-11,http://go.bkpcp.top/mg/cctv11
CCTV-12,http://go.bkpcp.top/mg/cctv12
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-14,http://go.bkpcp.top/mg/cctv14
CCTV-15,http://go.bkpcp.top/mg/cctv15
CCTV-16,http://go.bkpcp.top/mg/cctv16
CCTV-17,http://go.bkpcp.top/mg/cctv17
cct4欧洲,http://go.bkpcp.top/mg/cctv4o
cct4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-西,http://go.bkpcp.top/mg/cgtne
CGTN-阿,http://go.bkpcp.top/mg/cgtna
CGTN-法,http://go.bkpcp.top/mg/cgtnf
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视4k,http://go.bkpcp.top/mg/szws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江视,http://go.bkpcp.top/mg/hljws
CCTV-01,http://rihou.cc:555/tv/[mg]CCTV-01
CCTV-02,http://rihou.cc:555/tv/[mg]CCTV-02
CCTV-03,http://rihou.cc:555/tv/[mg]CCTV-03
CCTV-04,http://rihou.cc:555/tv/[mg]CCTV-04
CCTV-05,http://rihou.cc:555/tv/[mg]CCTV-05
CCTV-5+,http://rihou.cc:555/tv/[mg]CCTV-5p
CCTV-06,http://rihou.cc:555/tv/[mg]CCTV-06
CCTV-07,http://rihou.cc:555/tv/[mg]CCTV-07
CCTV-08,http://rihou.cc:555/tv/[mg]CCTV-08
CCTV-09,http://rihou.cc:555/tv/[mg]CCTV-09
CCTV-10,http://rihou.cc:555/tv/[mg]CCTV-10
CCTV-11,http://rihou.cc:555/tv/[mg]CCTV-11
CCTV-12,http://rihou.cc:555/tv/[mg]CCTV-12
CCTV-13,http://rihou.cc:555/tv/[mg]CCTV-13
CCTV-14,http://rihou.cc:555/tv/[mg]CCTV-14
CCTV-15,http://rihou.cc:555/tv/[mg]CCTV-15
CCTV-16,http://rihou.cc:555/tv/[mg]CCTV-16
CCTV-17,http://rihou.cc:555/tv/[mg]CCTV-17
cct4欧洲,http://rihou.cc:555/tv/[mg]cct4欧洲
cct4美洲,http://rihou.cc:555/tv/[mg]cct4美洲
CGTN-西,http://rihou.cc:555/tv/[mg]CGTN-西
CGTN-阿,http://rihou.cc:555/tv/[mg]CGTN-阿
CGTN-法,http://rihou.cc:555/tv/[mg]CGTN-法
北京卫视,http://rihou.cc:555/tv/[mg]北京卫视
东方卫视,http://rihou.cc:555/tv/[mg]东方卫视
浙江卫视,http://rihou.cc:555/tv/[mg]浙江卫视
江苏卫视,http://rihou.cc:555/tv/[mg]江苏卫视
湖南卫视,http://rihou.cc:555/tv/[mg]湖南卫视
广东卫视,http://rihou.cc:555/tv/[mg]广东卫视
深圳卫视,http://rihou.cc:555/tv/[mg]深圳卫视
山东卫视,http://rihou.cc:555/tv/[mg]山东卫视
河南卫视,http://rihou.cc:555/tv/[mg]河南卫视
江西卫视,http://rihou.cc:555/tv/[mg]江西卫视
湖北卫视,http://rihou.cc:555/tv/[mg]湖北卫视
海南卫视,http://rihou.cc:555/tv/[mg]海南卫视
陕西卫视,http://rihou.cc:555/tv/[mg]陕西卫视
兵团卫视,http://rihou.cc:555/tv/[mg]兵团卫视
黑龙江视,http://rihou.cc:555/tv/[mg]黑龙江视
CCTV-01,http://j.s.bkpcp.top/jj/cctv1
CCTV-02,http://j.s.bkpcp.top/jj/cctv2
CCTV-03,http://j.s.bkpcp.top/jj/cctv3
CCTV-04,http://j.s.bkpcp.top/jj/cctv4
CCTV-05,http://j.s.bkpcp.top/jj/cctv5
CCTV-5+,http://j.s.bkpcp.top/jj/cctv5p
CCTV-06,http://j.s.bkpcp.top/jj/cctv6
CCTV-07,http://j.s.bkpcp.top/jj/cctv7
CCTV-08,http://j.s.bkpcp.top/jj/cctv8
CCTV-09,http://j.s.bkpcp.top/jj/cctv9
CCTV-10,http://j.s.bkpcp.top/jj/cctv10
CCTV-11,http://j.s.bkpcp.top/jj/cctv11
CCTV-12,http://j.s.bkpcp.top/jj/cctv12
CCTV-13,http://j.s.bkpcp.top/jj/cctv13
CCTV-14,http://j.s.bkpcp.top/jj/cctv14
CCTV-15,http://j.s.bkpcp.top/jj/cctv15
CCTV-16,http://j.s.bkpcp.top/jj/cctv16
CCTV-17,http://j.s.bkpcp.top/jj/cctv17
cct4欧洲,http://j.s.bkpcp.top/jj/cctv4o
cct4美洲,http://j.s.bkpcp.top/jj/cctv4m
CGTN-西,http://j.s.bkpcp.top/jj/cgtne
CGTN-阿,http://j.s.bkpcp.top/jj/cgtna
CGTN-法,http://j.s.bkpcp.top/jj/cgtnf
北京卫视,http://j.s.bkpcp.top/jj/bjws
东方卫视,http://j.s.bkpcp.top/jj/dfws
浙江卫视,http://j.s.bkpcp.top/jj/zjws
